terms,polarity
pleasant,O
experience,O
.,O
,
well,O
",",O
i,O
did,O
n't,O
find,O
it,O
there,O
",",O
and,O
trust,O
",",O
i,O
have,O
told,O
everyone,O
i,O
can,O
think,O
of,O
about,O
my,O
experience,O
.,O
,
This,O
place,T-POS
has,O
got,O
to,O
be,O
the,O
best,O
japanese,O
restaurant,O
in,O
the,O
new,O
york,O
area,O
.,O
,
I,O
had,O
a,O
great,O
experience,O
.,O
,
Food,T-POS
is,O
great,O
.,O
,
Service,T-POS
is,O
top,O
notch,O
.,O
,
I,O
have,O
been,O
going,O
back,O
again,O
and,O
again,O
.,O
,
I,O
tend,O
to,O
judge,O
a,O
sushi,O
restaurant,O
by,O
its,O
sea,T-POS
urchin,T-POS
",",O
which,O
was,O
heavenly,O
at,O
sushi,O
rose,O
.,O
,
It,O
melted,O
in,O
my,O
little,O
mouth,O
and,O
the,O
perfect,O
consistency-not,O
too,O
fishy,O
",",O
creamy,O
",",O
and,O
slightly,O
buttery,O
.,O
,
The,O
sushi,T-POS
seemed,O
pretty,O
fresh,O
and,O
was,O
adequately,O
proportioned,O
.,O
,
The,O
rice,T-POS
to,T-POS
fish,T-POS
ration,T-POS
was,O
also,O
good,O
--,O
they,O
did,O
n't,O
try,O
to,O
overpack,O
the,O
rice,O
.,O
,
We,O
took,O
advanatage,O
of,O
the,O
half,T-POS
price,T-POS
sushi,T-POS
deal,T-POS
on,O
saturday,O
so,O
it,O
was,O
well,O
worth,O
it,O
.,O
,
I,O
went,O
to,O
this,O
restaurant,O
with,O
a,O
woman,O
that,O
I,O
met,O
recently,O
.,O
,
She,O
lives,O
nearby,O
but,O
had,O
never,O
gone,O
to,O
this,O
establishment,O
thinking,O
that,O
it,O
might,O
be,O
too,O
touristy,O
.,O
,
Surprisingly,O
nothing,O
could,O
be,O
further,O
from,O
the,O
truth,O
.,O
,
In,O
the,O
evening,O
",",O
this,O
place,O
attracted,O
a,O
well,O
dressed,O
",",O
with,O
it,O
",",O
NY,O
crowd,T-POS
.,O
,
The,O
food,T-POS
was,O
well,O
prepared,O
and,O
the,O
service,T-POS
impecable,O
.,O
,
I,O
'm,O
going,O
back,O
.,O
,
Having,O
hunted,O
around,O
for,O
a,O
quiet,O
",",O
romantic,O
",",O
yet,O
not,O
hideously,O
expensive,O
restaurant,O
I,O
stumbled,O
across,O
reviews,O
for,O
La,O
Lanterna,O
and,O
gave,O
it,O
a,O
shot,O
.,O
,
Quite,O
simply,O
it,O
's,O
like,O
stepping,O
out,O
of,O
Manhattan,O
and,O
into,O
a,O
haven,O
of,O
tranquility,O
.,O
,
The,O
service,O
was,O
attentive,O
",",O
yet,O
unimposing,O
",",O
the,O
food,O
was,O
far,O
better,O
than,O
many,O
notorious,O
restaurants,O
in,O
Midtown,O
and,O
the,O
wine,O
list,O
is,O
extensive,O
and,O
well,O
priced,O
.,O
,
The,O
Prix,T-POS
Fixe,T-POS
menu,T-POS
is,O
worth,O
every,O
penny,O
and,O
you,O
get,O
more,O
than,O
enough,O
both,O
in,O
quantity,O
AND,O
quality,O
.,O
,
I,O
will,O
be,O
going,O
back,O
and,O
heartily,O
recommend,O
it,O
!,O
,
It,O
is,O
terrific,O
",",O
as,O
is,O
the,O
value,O
.,O
,
$,O
6,O
and,O
there,O
is,O
much,O
tasty,O
food,T-POS
",",O
all,O
of,O
it,O
fresh,O
and,O
continually,O
refilled,O
.,O
,
I,O
am,O
not,O
a,O
vegetarian,O
but,O
",",O
almost,O
all,O
the,O
dishes,T-POS
were,O
great,O
.,O
,
Frankly,O
",",O
when,O
you,O
compare,O
what,O
you,O
can,O
have,O
here,O
for,O
lunch,O
",",O
versus,O
McDs,O
or,O
so,O
many,O
other,O
sandwich,O
shops,O
in,O
the,O
city,O
",",O
there,O
is,O
no,O
comparison,O
.,O
,
Go,O
hungry,O
and,O
enjoy,O
.,O
,
The,O
food,T-POS
here,O
is,O
rather,O
good,O
",",O
but,O
only,O
if,O
you,O
like,O
to,O
wait,O
for,O
it,O
.,O
,
I,O
like,O
the,O
somosas,T-POS
",",O
chai,T-POS
",",O
and,O
the,O
chole,T-POS
",",O
but,O
the,O
dhosas,T-NEG
and,O
dhal,T-NEG
were,O
kinda,O
dissapointing,O
.,O
,
The,O
service,T-NEG
varys,O
from,O
day,O
to,O
day,O
sometimes,O
they,O
're,O
very,O
nice,O
",",O
and,O
sometimes,O
not,O
.,O
,
The,O
kitchen,T-NEG
however,O
",",O
is,O
almost,O
always,O
slow,O
.,O
,
Also,O
",",O
specify,O
if,O
you,O
like,O
your,O
food,T-NEG
spicy,O
its,O
rather,O
bland,O
if,O
you,O
do,O
n't,O
.,O
,
The,O
ambience,T-POS
is,O
pretty,O
and,O
nice,O
for,O
conversation,O
",",O
so,O
a,O
casual,O
lunch,O
here,O
would,O
probably,O
be,O
best,O
.,O
,
Just,O
went,O
here,O
for,O
my,O
girlfriends,O
23rd,O
bday,O
.,O
,
If,O
you,O
've,O
ever,O
been,O
along,O
the,O
river,O
in,O
Weehawken,O
you,O
have,O
an,O
idea,O
of,O
the,O
top,O
of,O
view,T-POS
the,O
chart,O
house,O
has,O
to,O
offer,O
.,O
,
Add,O
to,O
that,O
great,O
service,T-POS
and,O
great,O
food,T-POS
at,O
a,O
reasonable,O
price,O
and,O
you,O
have,O
yourself,O
the,O
beginning,O
of,O
a,O
great,O
evening,O
.,O
,
The,O
lava,T-POS
cake,T-POS
dessert,T-POS
was,O
incredible,O
and,O
I,O
recommend,O
it,O
.,O
,
Once,O
you,O
step,O
into,O
Cosette,T-POS
",",O
you,O
're,O
miraculously,O
in,O
a,O
small,O
",",O
off-the-beaten,O
path,O
Parisian,O
bistro,O
.,O
,
This,O
tiny,O
restaurant,T-POS
is,O
as,O
cozy,O
as,O
it,O
gets,O
",",O
with,O
that,O
certain,O
Parisian,O
flair,O
.,O
,
The,O
food,T-POS
was,O
average,O
to,O
above-average,O
;,O
the,O
French,T-NEG
Onion,T-NEG
soup,T-NEG
filling,O
yet,O
not,O
overly,O
impressive,O
",",O
and,O
the,O
desserts,T-NEG
not,O
brilliant,O
in,O
any,O
way,O
.,O
,
However,O
",",O
go,O
for,O
the,O
ambience,T-POS
",",O
and,O
consider,O
the,O
food,T-NEU
just,O
a,O
companion,O
for,O
a,O
trip,O
across,O
the,O
world,O
!,O
,
I,O
have,O
never,O
eaten,O
in,O
the,O
restaurant,O
",",O
however,O
",",O
upon,O
reading,O
the,O
reviews,O
I,O
got,O
take,O
out,O
last,O
week,O
.,O
,
IT,O
WAS,O
HORRIBLE,O
.,O
,
The,O
pizza,T-NEG
was,O
delivered,O
cold,O
and,O
the,O
cheese,T-NEG
was,O
n't,O
even,O
fully,O
melted,O
!,O
,
It,O
looked,O
like,O
shredded,O
cheese,O
partly,O
done,O
",",O
still,O
in,O
strips,O
.,O
,
I,O
have,O
eaten,O
at,O
many,O
pizza,O
places,O
around,O
NYC,O
and,O
this,O
is,O
hands,O
down,O
the,O
worst,O
.,O
,
This,O
has,O
got,O
to,O
be,O
one,O
of,O
the,O
most,O
overrated,O
restaurants,O
in,O
Brooklyn,O
.,O
,
The,O
pizza,T-NEG
is,O
overpriced,O
and,O
soggy,O
.,O
,
Yes,O
",",O
they,O
use,O
fancy,O
ingredients,T-POS
",",O
but,O
even,O
fancy,O
ingredients,T-POS
do,O
n't,O
make,O
for,O
good,O
pizza,T-NEG
unless,O
someone,O
knows,O
how,O
to,O
get,O
the,O
crust,T-NEG
right,O
.,O
,
A,O
big,O
disappointment,O
",",O
all,O
around,O
.,O
,
I,O
think,O
I,O
've,O
had,O
some,O
the,O
best,O
meals,T-POS
of,O
my,O
life,O
at,O
minnow,O
.,O
,
The,O
seafood,T-POS
is,O
amazing,O
",",O
there,O
's,O
a,O
good,O
wine,T-POS
list,T-POS
",",O
and,O
the,O
ever-changing,O
menu,T-POS
always,O
offers,O
some,O
great,O
surprises,O
.,O
,
The,O
combination,O
of,O
super-fresh,O
ingredients,T-POS
in,O
the,O
dishes,O
are,O
unusual,O
but,O
really,O
delicious,O
.,O
,
Worth,O
the,O
trip,O
from,O
Manhattan,O
.,O
,
Was,O
there,O
Friday,O
night,O
.,O
,
Best,O
Pastrami,T-POS
I,O
ever,O
had,O
and,O
great,O
portion,T-POS
without,O
being,O
ridiculous,O
.,O
,
And,O
I,O
've,O
been,O
to,O
many,O
NYC,O
delis,O
.,O
,
My,O
wife,O
had,O
the,O
fried,T-POS
shrimp,T-POS
which,O
are,O
huge,O
and,O
loved,O
it,O
.,O
,
As,O
a,O
Japanese,O
native,O
",",O
I,O
've,O
lived,O
in,O
the,O
Tristate,O
area,O
for,O
over,O
8,O
years,O
",",O
but,O
I,O
was,O
just,O
so,O
amazed,O
at,O
this,O
place,T-POS
.,O
,
This,O
place,T-POS
is,O
the,O
most,O
Japanese,O
it,O
can,O
ever,O
get,O
.,O
,
The,O
signs,T-POS
",",O
the,O
specials,T-POS
menus,T-POS
",",O
food,T-POS
",",O
and,O
even,O
all,O
the,O
waitstaff,T-POS
are,O
ALL,O
TOTALLY,O
Japanese,O
.,O
,
This,O
place,T-POS
is,O
worth,O
an,O
one-hour,O
drive,O
.,O
,
Leon,T-POS
is,O
an,O
East,O
Village,O
gem,O
",",O
casual,O
but,O
hip,O
",",O
with,O
well,O
prepared,O
basic,O
French,T-POS
bistro,T-POS
fare,T-POS
",",O
good,O
specials,T-POS
",",O
a,O
warm,O
and,O
lively,O
atmosphere,T-POS
.,O
,
My,O
wife,O
and,O
I,O
always,O
enjoy,O
the,O
young,O
",",O
not,O
always,O
well,O
trained,O
but,O
nevertheless,O
friendly,O
",",O
staff,T-POS
",",O
all,O
of,O
whom,O
have,O
a,O
story,O
.,O
,
Sit,O
outside,O
in,O
the,O
warm,O
weather,O
;,O
inside,O
for,O
cozy,O
winter,O
.,O
,
Decent,O
wine,T-NEU
at,O
reasonable,O
prices,O
.,O
,
Have,O
been,O
dozens,O
of,O
times,O
and,O
never,O
failed,O
to,O
enjoy,O
the,O
experience,O
.,O
,
Our,O
teenage,O
kids,O
love,O
it,O
",",O
too,O
.,O
,
Everytime,O
I,O
decide,O
to,O
try,O
another,O
place,O
on,O
the,O
UES,O
",",O
I,O
get,O
angry,O
that,O
I,O
did,O
n't,O
just,O
go,O
to,O
Zucchero,T-POS
Pomodori,T-POS
.,O
,
This,O
is,O
by,O
far,O
my,O
favorite,O
place,T-POS
in,O
the,O
neighborhood,O
.,O
,
The,O
service,T-POS
is,O
excellent,O
",",O
the,O
decor,T-POS
is,O
great,O
",",O
and,O
the,O
food,T-POS
is,O
delicious,O
and,O
comes,O
in,O
large,O
portions,T-POS
.,O
,
You,O
'll,O
pay,O
at,O
least,O
double,O
at,O
any,O
other,O
Italian,O
restaurant,O
in,O
the,O
city,O
",",O
and,O
most,O
still,O
do,O
n't,O
compare,O
.,O
,
I,O
'm,O
partial,O
to,O
the,O
Gnocchi,T-POS
.,O
,
This,O
place,T-NEG
is,O
incredibly,O
tiny,O
.,O
,
The,O
hostess,T-NEG
is,O
rude,O
to,O
the,O
point,O
of,O
being,O
offensive,O
.,O
,
The,O
food,T-NEG
was,O
bland,O
oily,O
.,O
,
I,O
just,O
do,O
n't,O
understand,O
all,O
the,O
hype,O
.,O
,
We,O
went,O
to,O
Ino,O
for,O
Valentines,O
.,O
,
We,O
have,O
been,O
to,O
this,O
place,O
many,O
times,O
",",O
and,O
always,O
have,O
great,O
food,T-POS
",",O
wine,T-POS
",",O
and,O
service,T-POS
.,O
,
We,O
were,O
worried,O
we,O
would,O
have,O
trouble,O
getting,O
in,O
",",O
but,O
somehow,O
managed,O
to,O
have,O
a,O
short,O
wait,T-POS
.,O
,
When,O
we,O
sat,O
",",O
we,O
got,O
great,O
and,O
fast,O
service,T-POS
.,O
,
The,O
people,T-POS
that,O
work,O
there,O
are,O
always,O
so,O
friendly,O
you,O
forget,O
you,O
are,O
in,O
New,O
York,O
sometimes,O
.,O
,
Make,O
sure,O
you,O
try,O
this,O
place,T-POS
as,O
often,O
as,O
you,O
can,O
.,O
,
This,O
is,O
a,O
fun,O
restaurant,T-POS
to,O
go,O
to,O
.,O
,
The,O
pizza,T-POS
is,O
yummy,O
and,O
I,O
like,O
the,O
atmoshpere,T-POS
.,O
,
But,O
the,O
pizza,T-NEG
is,O
way,O
to,O
expensive,O
.,O
,
A,O
large,O
is,O
$,O
20,O
",",O
and,O
toppings,T-NEG
are,O
about,O
$,O
3,O
each,O
.,O
,
I,O
went,O
there,O
for,O
lunch,T-NEG
and,O
it,O
was,O
not,O
as,O
good,O
as,O
I,O
expected,O
from,O
the,O
reviews,O
I,O
read,O
.,O
,
Sauce,T-NEG
was,O
watery,O
and,O
the,O
food,T-NEG
did,O
n't,O
have,O
much,O
flavor,O
.,O
,
If,O
you,O
like,O
the,O
food,O
and,O
the,O
value,O
you,O
get,O
from,O
some,O
of,O
Chinatown,O
restaurants,O
",",O
this,O
is,O
not,O
the,O
place,O
for,O
you,O
.,O
,
I,O
do,O
n't,O
think,O
I,O
would,O
go,O
again,O
.,O
,
I,O
had,O
a,O
huge,O
group,O
for,O
my,O
birthday,O
and,O
we,O
were,O
well,O
taken,O
care,O
of,O
.,O
,
The,O
waitress,T-POS
was,O
very,O
patient,O
with,O
us,O
and,O
the,O
food,T-POS
is,O
phenomenal,O
!,O
,
Service,T-POS
was,O
prompt,O
",",O
friendly,O
and,O
great,O
.,O
,
Great,O
pizza,T-POS
and,O
fantastic,O
service,T-POS
.,O
,
There,O
was,O
a,O
small,O
wait,T-POS
",",O
but,O
shorter,O
than,O
I,O
expected,O
.,O
,
Located,O
at,O
the,O
end,O
of,O
a,O
magnificent,O
block,T-POS
.,O
,
Very,O
cozy,O
and,O
warm,O
inside,O
.,O
,
I,O
will,O
be,O
back,O
!,O
,
This,O
is,O
the,O
best,O
sushi,T-POS
in,O
new,O
york,O
city,O
",",O
hands,O
down,O
.,O
,
The,O
place,T-NEG
is,O
small,O
and,O
cramped,O
but,O
the,O
food,T-POS
is,O
fantastic,O
.,O
,
Get,O
the,O
tuna,T-POS
of,T-POS
gari,T-POS
.,O
,
The,O
one,O
on,O
the,O
east,O
side,O
is,O
much,O
better,O
than,O
the,O
one,O
on,O
the,O
west,O
side,O
.,O
,
Planet,T-POS
Thailand,T-POS
has,O
always,O
been,O
a,O
hit,O
with,O
me,O
",",O
I,O
go,O
there,O
usually,O
for,O
the,O
sushi,T-POS
",",O
which,O
is,O
great,O
",",O
the,O
thai,T-POS
food,T-POS
is,O
excellent,O
too,O
.,O
,
With,O
the,O
great,O
variety,O
on,O
the,O
menu,T-POS
",",O
I,O
eat,O
here,O
often,O
and,O
never,O
get,O
bored,O
.,O
,
The,O
atmosphere,T-NEU
is,O
n't,O
the,O
greatest,O
",",O
but,O
I,O
suppose,O
that,O
's,O
how,O
they,O
keep,O
the,O
prices,O
down,O
.,O
,
It,O
's,O
all,O
about,O
the,O
food,T-POS
!,O
!,O
,
I,O
went,O
there,O
with,O
my,O
friend,O
last,O
saturday,O
.,O
,
first,O
it,O
took,O
us,O
a,O
long,O
time,O
to,O
find,O
the,O
place,T-NEG
.,O
,
we,O
were,O
tired,O
and,O
cold,O
when,O
we,O
got,O
to,O
the,O
restaurant,O
",",O
then,O
we,O
sat,O
down,O
to,O
begin,O
ordering,O
appetizers,O
.,O
,
but,O
when,O
we,O
looked,O
at,O
the,O
menu,T-NEG
",",O
there,O
were,O
n't,O
a,O
lot,O
of,O
choices,O
",",O
most,O
of,O
them,O
were,O
dumplings,O
in,O
the,O
appetizer,O
section,O
.,O
,
then,O
we,O
ordered,O
a,O
dinosaur,O
rolls,O
and,O
white,O
tuna,O
sashimi,O
.,O
,
those,O
rolls,T-NEU
were,O
big,O
",",O
but,O
not,O
good,O
and,O
sashimi,T-NEG
was,O
n't,O
fresh,O
.,O
,
they,O
were,O
dry,O
and,O
disgusting,O
",",O
i,O
did,O
n't,O
even,O
finish,O
my,O
first,O
piece,O
.,O
,
Hurley,O
's,O
is,O
like,O
Cheers,O
where,O
everyone,O
knows,O
your,O
name,O
and,O
they,O
are,O
ACTUALLY,O
glad,O
you,O
came,O
.,O
,
Try,O
the,O
crunchy,T-POS
tuna,T-POS
",",O
it,O
is,O
to,O
die,O
for,O
.,O
,
Try,O
everything,O
for,O
that,O
matter,O
",",O
it,O
is,O
all,O
good,O
.,O
,
First,O
went,O
here,O
to,O
enjoy,O
their,O
garden,T-POS
terrace,T-POS
.,O
,
The,O
food,T-POS
was,O
amazing,O
",",O
and,O
the,O
service,T-POS
was,O
prompt,O
and,O
helpful,O
",",O
but,O
not,O
over-bearing,O
or,O
rushed,O
.,O
,
The,O
Steak,T-POS
Tartare,T-POS
is,O
a,O
great,O
bet,O
",",O
they,O
fix,O
it,O
for,O
you,O
at,O
the,O
table,O
.,O
,
Admittedly,O
some,O
nights,O
inside,O
the,O
restaurant,T-NEG
were,O
rather,O
warm,O
",",O
but,O
the,O
open,T-POS
kitchen,T-POS
is,O
part,O
of,O
the,O
charm,O
.,O
,
Great,O
wine,T-POS
selection,T-POS
",",O
Gigondas,T-POS
is,O
worth,O
the,O
price,O
",",O
and,O
the,O
house,T-POS
champagne,T-POS
is,O
a,O
great,O
value,O
.,O
,
It,O
may,O
be,O
a,O
bit,O
packed,O
on,O
weekends,O
",",O
but,O
the,O
vibe,T-POS
is,O
good,O
and,O
it,O
is,O
the,O
best,O
French,T-POS
food,T-POS
you,O
will,O
find,O
in,O
the,O
area,O
.,O
,
Have,O
recommended,O
the,O
place,T-POS
to,O
friends,O
",",O
always,O
gets,O
good,O
response,O
.,O
,
Veal,O
Parmigana,O
",",O
Better,O
than,O
Patsy,O
's,O
!,O
,
Much,O
more,O
reasonably,O
priced,O
too,O
!,O
,
I,O
take,O
all,O
my,O
NYC,O
guests,O
to,O
VT's,T-POS
.,O
,
Not,O
sure,O
where,O
the,O
previous,O
reviewer,O
",",O
lonk,O
",",O
dined,O
",",O
but,O
Saul,O
is,O
in,O
a,O
great,O
neighborhood,T-POS
and,O
has,O
great,O
food,T-POS
!,O
,
I,O
've,O
been,O
there,O
three,O
times,O
and,O
have,O
always,O
had,O
wonderful,O
experiences,O
.,O
,
I,O
'd,O
highly,O
recommend,O
it,O
for,O
a,O
special,O
occasion,O
-,O
it,O
provides,O
and,O
intimate,O
setting,T-POS
and,O
nice,O
service,T-POS
.,O
,
I,O
'm,O
not,O
sure,O
where,O
the,O
other,O
reviewers,O
ate,O
but,O
it,O
seems,O
as,O
if,O
we,O
visited,O
two,O
different,O
restaurants,O
because,O
my,O
friends,O
and,O
I,O
all,O
enjoy,O
Mizu,T-POS
very,O
much,O
and,O
we,O
're,O
repeat,O
customers,O
.,O
,
Even,O
after,O
they,O
overcharged,O
me,O
the,O
last,O
time,O
I,O
was,O
there,O
.,O
,
it,O
's,O
delicious,O
!,O
,
Moules,T-POS
were,O
excellent,O
",",O
lobster,T-NEG
ravioli,T-NEG
was,O
VERY,O
salty,O
!,O
,
Took,O
my,O
mom,O
for,O
Mother,O
's,O
Day,O
",",O
and,O
the,O
maitre,T-NEG
d',T-NEG
was,O
pretty,O
rude,O
.,O
,
Stepped,O
on,O
my,O
foot,O
on,O
the,O
SECOND,O
time,O
he,O
reached,O
over,O
me,O
to,O
adjust,O
lighting,O
.,O
,
Tiny,O
dessert,T-NEG
was,O
$,O
800just,O
plain,O
overpriced,O
for,O
what,O
it,O
is,O
.,O
,
The,O
drinks,T-POS
are,O
always,O
welll,O
made,O
and,O
wine,T-POS
selection,T-POS
is,O
fairly,O
priced,O
.,O
,
Try,O
their,O
chef's,T-POS
specials,T-POS
they,O
are,O
to,O
die,O
for,O
.,O
,
Service,T-NEU
is,O
not,O
exactly,O
five,O
star,O
",",O
but,O
thats,O
not,O
really,O
a,O
big,O
deal,O
.,O
,
Downstairs,T-POS
lounge,T-POS
is,O
always,O
a,O
good,O
attraction,O
,
Raga's,T-POS
is,O
a,O
romantic,O
",",O
cozy,O
restaurant,O
.,O
,
The,O
exotic,T-POS
food,T-POS
is,O
beautifully,O
presented,O
and,O
is,O
a,O
delight,O
in,O
delicious,O
combinations,O
.,O
,
It,O
is,O
also,O
extremely,O
well,O
priced,O
.,O
,
The,O
staff,T-POS
is,O
incredibly,O
helpful,O
and,O
attentive,O
.,O
,
The,O
bar,T-POS
is,O
very,O
well,O
stocked,O
with,O
interesting,O
beers,T-POS
and,O
well,O
priced,O
wines,T-POS
.,O
,
This,O
is,O
one,O
of,O
my,O
favorite,O
restaurants,O
and,O
it,O
is,O
not,O
to,O
be,O
missed,O
.,O
,
Your,O
friends,O
will,O
thank,O
you,O
for,O
introducing,O
them,O
to,O
this,O
gem,O
!,O
,
When,O
we,O
stumbled,O
on,O
Leon,T-NEG
",",O
we,O
thought,O
that,O
